model,threshold,auc,logloss,accuracy,precision,recall,f1,mcc,tn,fp,fn,tp,backend,fit_seconds
Logistic Regression,0.25,0.7099992933275905,0.6329333000580667,0.3531780212736123,0.2669085688437863,0.9716368756413621,0.41877867149410625,0.1663397196480007,41988,223653,2377,81429,logistic_regression,2513.501235799995
Logistic Regression,0.26,0.7099992933275905,0.6329333000580667,0.36364598923441893,0.2694670153792915,0.9663269932940363,0.4214185356715408,0.17208535262403024,46091,219550,2822,80984,logistic_regression,2513.501235799995
Logistic Regression,0.27,0.7099992933275905,0.6329333000580667,0.3744373252596245,0.2722988198965509,0.9617211178197265,0.4244267332285405,0.17896803107080966,50248,215393,3208,80598,logistic_regression,2513.501235799995
Logistic Regression,0.28,0.7099992933275905,0.6329333000580667,0.38595552401365585,0.27524749071909804,0.9554805145216333,0.4273789382108527,0.18496451059597963,54796,210845,3731,80075,logistic_regression,2513.501235799995
Logistic Regression,0.29,0.7099992933275905,0.6329333000580667,0.3977741975177924,0.27833012427796255,0.9486790921891034,0.43038954571044996,0.1908252385259915,59496,206145,4301,79505,logistic_regression,2513.501235799995
Logistic Regression,0.3,0.7099992933275905,0.6329333000580667,0.40988189911488726,0.28160827258421917,0.9417106173782307,0.4335639748720667,0.19694071952665532,64311,201330,4885,78921,logistic_regression,2513.501235799995
Logistic Regression,0.31,0.7099992933275905,0.6329333000580667,0.4227307717622415,0.28528403855888534,0.934742142567358,0.4371496572256061,0.20391874217221537,69385,196256,5469,78337,logistic_regression,2513.501235799995
Logistic Regression,0.32,0.7099992933275905,0.6329333000580667,0.4352505530166234,0.288953241983331,0.927487292079326,0.4406305979456248,0.2104063603414338,74368,191273,6077,77729,logistic_regression,2513.501235799995
Logistic Regression,0.33,0.7099992933275905,0.6329333000580667,0.44764728270667653,0.29257452821588115,0.9190511419230126,0.4438515308503956,0.21591158861496518,79407,186234,6784,77022,logistic_regression,2513.501235799995
Logistic Regression,0.34,0.7099992933275905,0.6329333000580667,0.459405861260792,0.2960424436949612,0.9101734959310789,0.4467690685721816,0.2205971046872956,84260,181381,7528,76278,logistic_regression,2513.501235799995
Logistic Regression,0.35,0.7099992933275905,0.6329333000580667,0.4723234138510275,0.29993993563964566,0.899744648354533,0.4499005080503456,0.22544336631138223,89648,175993,8402,75404,logistic_regression,2513.501235799995
Logistic Regression,0.36,0.7099992933275905,0.6329333000580667,0.4845169653767238,0.30380623401169893,0.8899362814118321,0.4529757241161501,0.23027524984851017,94731,170910,9224,74582,logistic_regression,2513.501235799995
Logistic Regression,0.37,0.7099992933275905,0.6329333000580667,0.49580050765924444,0.30741650233263984,0.8798415387919719,0.45563440986458137,0.23419702428872052,99520,166121,10070,73736,logistic_regression,2513.501235799995
Logistic Regression,0.38,0.7099992933275905,0.6329333000580667,0.507619181163381,0.31122005895161947,0.8680524067489201,0.458172863454435,0.23767534713580302,104638,161003,11058,72748,logistic_regression,2513.501235799995
Logistic Regression,0.39,0.7099992933275905,0.6329333000580667,0.5196582028175947,0.31536190367395717,0.856466124143856,0.46098366130606794,0.24179184674034632,109816,155825,12029,71777,logistic_regression,2513.501235799995
Logistic Regression,0.4,0.7099992933275905,0.6329333000580667,0.5308702034929474,0.319273032369817,0.8445576689019879,0.4633740760866007,0.2451075430371508,114732,150909,13027,70779,logistic_regression,2513.501235799995
Logistic Regression,0.41,0.7099992933275905,0.6329333000580667,0.5427947585756925,0.32350194010083877,0.8306803808796506,0.46565730549396156,0.24811875104565875,120062,145579,14190,69616,logistic_regression,2513.501235799995
Logistic Regression,0.42,0.7099992933275905,0.6329333000580667,0.5542728940297098,0.32771270125566293,0.8165405818199174,0.4677123914975053,0.2508200734820177,125258,140383,15375,68431,logistic_regression,2513.501235799995
Logistic Regression,0.43,0.7099992933275905,0.6329333000580667,0.5663519789839375,0.33253222959039863,0.8023888504403026,0.4702003656997416,0.25446753324564697,130665,134976,16561,67245,logistic_regression,2513.501235799995
Logistic Regression,0.44,0.7099992933275905,0.6329333000580667,0.5780361542665984,0.3372340425531915,0.7867694437152472,0.47210785963354646,0.25711966328546637,136057,129584,17870,65936,logistic_regression,2513.501235799995
Logistic Regression,0.45,0.7099992933275905,0.6329333000580667,0.5896430646135179,0.34198133220195165,0.7694437152471183,0.47350990946006477,0.25901645124320677,141565,124076,19322,64484,logistic_regression,2513.501235799995
Logistic Regression,0.46,0.7099992933275905,0.6329333000580667,0.6011097534103884,0.3467795731824973,0.7505667851943775,0.4743830011878052,0.26023932078880924,147154,118487,20904,62902,logistic_regression,2513.501235799995
Logistic Regression,0.47,0.7099992933275905,0.6329333000580667,0.6120584809713633,0.3513620621327774,0.7299716010786818,0.47438517042304307,0.2603121134419781,152706,112935,22630,61176,logistic_regression,2513.501235799995
Logistic Regression,0.48,0.7099992933275905,0.6329333000580667,0.6234736598110729,0.3568131406989989,0.7102116793547001,0.4749896255626137,0.2618520939613361,158351,107290,24286,59520,logistic_regression,2513.501235799995
Logistic Regression,0.49,0.7099992933275905,0.6329333000580667,0.6346255655364047,0.36254206169675474,0.6903682313915471,0.47542041061164453,0.2635023276895825,163911,101730,25949,57857,logistic_regression,2513.501235799995
Logistic Regression,0.5,0.7099992933275905,0.6329333000580667,0.6442178642254762,0.3677314479327836,0.6721237142925327,0.47537587084305627,0.26464256402550507,168792,96849,27478,56328,logistic_regression,2513.501235799995
Logistic Regression,0.51,0.7099992933275905,0.6329333000580667,0.6525624772855397,0.37241557137331804,0.654893444383457,0.4748182144571955,0.2651940527375575,173152,92489,28922,54884,logistic_regression,2513.501235799995
Logistic Regression,0.52,0.7099992933275905,0.6329333000580667,0.6609614619670507,0.37727781160179535,0.6358971911318999,0.47358037856571583,0.26516628046734525,177679,87962,30514,53292,logistic_regression,2513.501235799995
