model,threshold,auc,logloss,accuracy,precision,recall,f1,mcc,tn,fp,fn,tp
Gradient Boosting,0.67,0.7134517299767646,0.4969845311191343,0.76018,0.0,0.0,0.0,0.0,76018,0,23982,0
Gradient Boosting,0.68,0.7134517299767646,0.4969845311191343,0.76018,0.0,0.0,0.0,0.0,76018,0,23982,0
Gradient Boosting,0.69,0.7134517299767646,0.4969845311191343,0.76018,0.0,0.0,0.0,0.0,76018,0,23982,0
Gradient Boosting,0.7,0.7134517299767646,0.4969845311191343,0.76018,0.0,0.0,0.0,0.0,76018,0,23982,0
Gradient Boosting,0.71,0.7134517299767646,0.4969845311191343,0.76018,0.0,0.0,0.0,0.0,76018,0,23982,0
Gradient Boosting,0.72,0.7134517299767646,0.4969845311191343,0.76018,0.0,0.0,0.0,0.0,76018,0,23982,0
Gradient Boosting,0.73,0.7134517299767646,0.4969845311191343,0.76018,0.0,0.0,0.0,0.0,76018,0,23982,0
Gradient Boosting,0.74,0.7134517299767646,0.4969845311191343,0.76018,0.0,0.0,0.0,0.0,76018,0,23982,0
Gradient Boosting,0.75,0.7134517299767646,0.4969845311191343,0.76018,0.0,0.0,0.0,0.0,76018,0,23982,0
Gradient Boosting,0.76,0.7134517299767646,0.4969845311191343,0.76018,0.0,0.0,0.0,0.0,76018,0,23982,0
Gradient Boosting,0.77,0.7134517299767646,0.4969845311191343,0.76018,0.0,0.0,0.0,0.0,76018,0,23982,0
Gradient Boosting,0.78,0.7134517299767646,0.4969845311191343,0.76018,0.0,0.0,0.0,0.0,76018,0,23982,0
Gradient Boosting,0.79,0.7134517299767646,0.4969845311191343,0.76018,0.0,0.0,0.0,0.0,76018,0,23982,0
Gradient Boosting,0.8,0.7134517299767646,0.4969845311191343,0.76018,0.0,0.0,0.0,0.0,76018,0,23982,0
Logistic Regression,0.05,0.7062384128155927,0.6341796878072375,0.25664,0.2438185555261605,0.9991660411975648,0.39198429576312777,0.07074793915062713,1702,74316,20,23962
Logistic Regression,0.06,0.7062384128155927,0.6341796878072375,0.25686,0.243873147695815,0.9991660411975648,0.39205484382925115,0.07125212323372981,1724,74294,20,23962
Logistic Regression,0.07,0.7062384128155927,0.6341796878072375,0.25764,0.2440564711634445,0.9990826453173213,0.3922852745669472,0.07275304788121979,1804,74214,22,23960
Logistic Regression,0.08,0.7062384128155927,0.6341796878072375,0.25874,0.2443145893246854,0.9989575514969561,0.392608980662078,0.0748007581500226,1917,74101,25,23957
Logistic Regression,0.09,0.7062384128155927,0.6341796878072375,0.25965,0.2445154506569209,0.9987490617963473,0.3928521637868114,0.07614824819927185,2013,74005,30,23952
Logistic Regression,0.1,0.7062384128155927,0.6341796878072375,0.26172,0.24501759698805042,0.998623967975982,0.3934902978821287,0.08012668755647327,2223,73795,33,23949
Logistic Regression,0.11,0.7062384128155927,0.6341796878072375,0.26313,0.2453559023330635,0.9984988741556167,0.3939167125901677,0.08262830600952274,2367,73651,36,23946
